Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
18:45:53,20.15,0.0,0.36,47.0,45.0,2.1,0.0
18:45:55,20.15,0.0,0.37,47.5,45.0,1.74,0.0
18:45:58,27.88,0.0,0.38,47.0,45.0,1.34,0.0
18:46:00,26.99,0.0,0.39,46.0,45.0,1.22,0.0
18:46:03,20.15,0.0,0.4,46.5,45.0,1.3,0.0
18:46:05,20.15,0.0,0.4,46.5,44.5,1.22,0.0
18:46:08,26.65,0.0,0.4,47.0,44.5,1.3,0.0
18:46:10,26.53,0.0,0.4,47.5,44.5,1.3,0.0
18:46:13,20.15,0.0,0.4,46.0,44.5,1.22,0.0
18:46:15,20.15,0.0,0.4,46.5,44.5,1.34,0.0
18:46:18,26.34,0.0,0.4,46.5,44.5,1.3,0.0
18:46:20,26.33,0.0,0.4,46.0,45.0,1.22,0.0
18:46:23,20.15,0.0,0.4,47.5,44.5,1.34,0.0
18:46:25,20.15,0.0,0.4,46.5,44.5,1.22,0.0
18:46:28,26.27,0.0,0.4,47.5,45.0,1.26,0.0
18:46:30,26.26,0.0,0.4,47.0,44.5,1.3,0.0
18:46:33,20.15,0.0,0.4,46.5,44.5,1.22,0.0
18:46:35,20.15,0.0,0.4,46.5,44.5,1.3,0.0
18:46:38,26.16,0.0,0.4,46.5,45.0,1.34,0.0
18:46:40,26.15,0.0,0.4,46.0,45.0,1.26,0.0
18:46:43,26.15,0.0,0.4,46.0,44.5,1.26,0.0
18:46:45,20.15,0.0,0.4,47.5,45.0,1.26,0.0
18:46:48,20.15,0.0,0.4,47.5,45.0,1.3,0.0
18:46:50,26.09,0.0,0.4,46.0,45.0,1.22,0.0
18:46:53,26.09,0.0,0.4,46.0,44.5,1.3,0.0
18:46:55,20.15,0.0,0.4,46.5,44.5,1.3,0.0
18:46:58,20.15,0.0,0.4,46.0,44.5,1.22,0.0
18:47:00,26.05,0.0,0.4,46.5,45.0,1.3,0.0
18:47:03,26.04,0.0,0.4,47.0,44.5,1.22,0.0
18:47:05,20.15,0.0,0.4,47.5,44.5,1.26,0.0
18:47:08,20.15,0.0,0.4,47.5,44.5,1.3,0.0
18:47:10,26.03,0.0,0.4,46.5,45.0,1.22,0.0
18:47:13,26.02,0.0,0.4,46.5,45.0,1.3,0.0
18:47:15,20.15,0.0,0.4,46.5,44.5,1.22,0.0
18:47:18,20.15,0.0,0.4,46.5,45.0,1.3,0.0
18:47:20,26.02,0.0,0.4,46.5,44.5,1.26,0.0
18:47:23,26.02,0.0,0.4,46.5,45.0,1.3,0.0
18:47:25,20.15,0.0,0.4,47.5,45.0,1.3,0.0
18:47:28,20.15,0.0,0.4,46.5,45.0,1.26,0.0
18:47:30,26.02,0.0,0.4,47.0,45.0,1.26,0.0
18:47:33,26.03,0.0,0.4,47.0,45.0,1.26,0.0
18:47:35,20.15,0.0,0.4,47.0,44.5,1.3,0.0
18:47:38,20.15,0.0,0.4,46.5,45.5,1.22,0.0
18:47:40,26.01,0.0,0.4,46.5,45.0,1.22,0.0
18:47:43,26.0,0.0,0.4,48.0,45.0,1.26,0.0
18:47:45,20.15,0.0,0.4,46.5,45.0,1.26,0.0
18:47:48,20.15,0.0,0.4,46.5,45.0,1.3,0.0
18:47:50,26.02,0.0,0.4,46.5,44.5,1.22,0.0
18:47:53,26.01,0.0,0.4,46.5,45.0,1.3,0.0
18:47:55,20.15,0.0,0.4,47.0,45.0,1.26,0.0
18:47:58,20.15,0.0,0.4,47.5,45.0,1.3,0.0
18:48:00,26.01,0.0,0.4,48.0,44.5,1.3,0.0
18:48:03,26.01,0.0,0.4,46.5,45.0,1.22,0.0
18:48:05,20.15,0.0,0.4,48.0,45.0,1.26,0.0
18:48:08,20.15,0.0,0.4,47.0,45.0,1.3,0.0
18:48:10,26.01,0.0,0.4,46.5,45.0,1.3,0.0
18:48:13,26.0,0.0,0.4,47.5,45.0,1.22,0.0
18:48:15,20.15,0.0,0.4,47.0,45.5,1.22,0.0
18:48:18,20.15,0.0,0.4,48.0,45.0,1.26,0.0
18:48:20,25.99,0.0,0.4,47.0,45.0,1.26,0.0
18:48:23,25.98,0.0,0.4,46.5,45.0,1.3,0.0
18:48:25,20.15,0.0,0.4,47.0,45.0,1.22,0.0
18:48:28,20.15,0.0,0.4,47.5,45.0,1.3,0.0
18:48:30,25.97,0.0,0.4,47.5,45.0,1.22,0.0
18:48:33,25.97,0.0,0.4,47.0,45.5,1.3,0.0
18:48:35,20.15,0.0,0.4,46.5,45.0,1.22,0.0
18:48:38,20.15,0.0,0.4,48.0,45.0,1.38,0.0
