Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
14:01:34,25.06,2.1,0.62,48.0,45.0,1.34,0.08
14:01:37,19.6,0.0,0.62,48.5,44.5,1.3,0.12
14:01:39,19.6,33.3,0.62,47.5,45.0,1.54,0.16
14:01:42,25.09,16.3,0.62,48.0,44.5,1.34,0.08
14:01:44,25.09,0.0,0.62,48.0,44.5,1.38,0.12
14:01:47,19.6,0.0,0.62,48.0,44.5,1.34,0.08
14:01:49,19.6,0.0,0.62,48.0,45.0,1.34,0.08
14:01:52,25.12,0.0,0.62,47.0,44.5,1.3,0.08
14:01:54,25.13,0.0,0.62,47.5,45.0,1.3,0.08
14:01:57,19.6,0.0,0.62,48.5,45.0,1.34,0.08
14:01:59,19.6,4.8,0.62,49.0,44.5,1.34,0.08
14:02:02,25.12,0.0,0.62,47.5,45.0,1.3,0.08
14:02:04,25.13,0.0,0.62,47.5,45.0,1.34,0.08
14:02:07,19.6,28.3,0.62,47.5,44.5,1.5,0.16
14:02:09,19.6,0.0,0.62,47.0,44.5,1.34,0.08
14:02:12,25.15,0.0,0.62,48.0,45.0,1.38,0.08
14:02:14,25.15,0.0,0.62,48.5,44.0,1.34,0.08
14:02:17,19.6,0.0,0.62,48.0,44.5,1.18,0.08
14:02:19,19.6,0.0,0.62,48.0,44.5,1.34,0.16
14:02:22,25.16,4.8,0.62,48.0,44.5,1.34,0.08
14:02:24,25.17,0.0,0.62,48.5,44.5,1.38,0.08
14:02:27,19.6,34.7,0.62,47.5,45.0,1.46,0.16
14:02:29,19.6,32.2,0.62,47.5,45.0,1.62,0.16
14:02:32,25.14,0.0,0.62,48.5,45.0,1.3,0.08
14:02:34,25.15,0.0,0.62,48.0,44.5,1.3,0.08
14:02:37,19.6,4.4,0.62,48.0,44.5,1.34,0.08
14:02:39,19.6,4.6,0.62,47.0,44.5,1.34,0.08
14:02:42,25.15,0.0,0.62,48.5,45.0,1.42,0.08
14:02:44,25.16,0.0,0.62,48.5,44.5,1.34,0.08
14:02:47,19.6,25.3,0.62,48.5,44.5,1.5,0.16
