CPU (%),Memory (%),Time
99.9,2.290437534193911,0.0
99.9,2.290437534193911,5.0
99.9,2.296943618861731,10.0
99.9,2.296943618861731,15.0
99.9,2.296943618861731,20.0
98.9,2.296943618861731,25.0
98.9,2.296943618861731,30.0
99.9,2.296943618861731,35.0
99.9,2.296943618861731,40.0
99.9,2.296943618861731,45.0
99.9,2.296943618861731,50.0
99.9,2.296943618861731,55.0
98.9,2.296943618861731,60.0
99.9,2.296943618861731,65.0
99.9,2.296943618861731,70.0
98.9,2.296943618861731,75.0
99.9,2.296943618861731,80.0
99.9,2.296943618861731,85.0
99.9,2.296943618861731,90.0
99.9,2.296943618861731,95.0
99.9,2.296943618861731,100.0
98.9,2.296943618861731,105.0
99.9,2.296943618861731,110.0
99.9,2.296943618861731,115.0
98.9,2.296943618861731,120.0
98.9,2.296943618861731,125.0
99.9,2.296943618861731,130.0
99.9,2.296943618861731,135.0
98.9,2.296943618861731,140.0
98.9,2.296943618861731,145.0
98.9,2.303449703529551,150.0
99.0,2.303449703529551,155.0
98.9,2.303449703529551,160.0
97.9,2.303449703529551,165.0
97.9,2.303449703529551,170.0
97.9,2.303449703529551,175.0
97.9,2.303449703529551,180.0
98.9,2.303449703529551,185.0
97.9,2.303449703529551,190.0
97.9,2.303449703529551,195.0
97.9,2.303449703529551,200.0
98.9,2.303449703529551,205.0
97.9,2.303449703529551,210.0
98.9,2.303449703529551,215.0
98.9,2.303449703529551,220.0
104.0,2.303449703529551,225.0
100.9,2.303449703529551,230.0
100.9,2.303449703529551,235.0
99.9,2.303449703529551,240.0
98.9,2.303449703529551,245.0
99.9,2.303449703529551,250.0
98.9,2.303449703529551,255.0
99.9,2.303449703529551,260.0
99.9,2.311434443803694,265.0
98.9,2.311434443803694,270.0
98.9,2.311434443803694,275.0
98.9,2.311434443803694,280.0
98.9,2.311434443803694,285.0
99.9,2.311434443803694,290.0
99.0,2.311434443803694,295.0
98.9,2.311434443803694,300.0
99.9,2.311434443803694,305.0
99.9,2.311434443803694,310.0
98.9,2.311434443803694,315.0
98.9,2.311434443803694,320.0
98.9,2.311434443803694,325.0
100.0,2.311434443803694,330.0
99.9,2.311434443803694,335.0
98.9,2.311434443803694,340.0
100.0,2.311434443803694,345.0
99.9,2.311434443803694,350.0
98.9,2.311434443803694,355.0
98.9,2.311434443803694,360.0
98.9,2.311434443803694,365.0
100.0,2.311434443803694,370.0
98.9,2.311434443803694,375.0
99.9,2.311434443803694,380.0
99.9,2.3179405284715138,385.0
99.9,2.3179405284715138,390.0
98.9,2.3179405284715138,395.0
98.9,2.3179405284715138,400.0
98.9,2.3179405284715138,405.0
98.9,2.3179405284715138,410.0
99.9,2.3179405284715138,415.0
98.9,2.3179405284715138,420.0
98.9,2.3179405284715138,425.0
99.9,2.3179405284715138,430.0
99.9,2.3179405284715138,435.0
99.9,2.3179405284715138,440.0
98.9,2.3179405284715138,445.0
98.9,2.3179405284715138,450.0
98.9,2.3179405284715138,455.0
98.9,2.3179405284715138,460.0
98.9,2.3179405284715138,465.0
98.9,2.3179405284715138,470.0
99.9,2.3179405284715138,475.0
98.9,2.3179405284715138,480.0
99.9,2.3179405284715138,485.0
98.9,2.3179405284715138,490.0
98.9,2.3179405284715138,495.0
96.9,2.318531990714043,500.0
97.9,2.318531990714043,505.0
