Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
11:54:01,25.69,4.6,0.63,46.0,41.5,1.3,0.08
11:54:04,19.3,0.0,0.63,45.5,42.0,1.3,0.08
11:54:06,19.3,0.0,0.63,45.5,42.0,1.38,0.08
11:54:09,25.69,32.8,0.63,45.5,42.0,1.46,0.12
11:54:11,25.69,0.0,0.63,45.0,42.0,1.3,0.08
11:54:14,19.3,0.0,0.63,46.5,42.0,1.3,0.08
11:54:16,19.3,0.0,0.63,45.5,42.0,1.38,0.08
11:54:19,25.7,32.7,0.63,45.0,42.0,1.42,0.16
11:54:21,25.69,4.6,0.63,46.0,41.5,1.3,0.08
11:54:24,19.3,1.9,0.63,45.5,42.0,1.3,0.08
11:54:26,19.3,0.0,0.63,46.0,42.0,1.42,0.08
11:54:29,25.71,0.0,0.63,45.5,42.0,1.38,0.12
11:54:31,25.7,2.5,0.63,44.5,41.5,1.3,0.08
11:54:34,19.3,0.0,0.63,46.0,42.0,1.34,0.08
11:54:36,19.3,0.0,0.63,46.0,42.0,1.39,0.08
11:54:39,25.7,38.9,0.63,45.5,42.0,1.5,0.16
11:54:41,25.7,0.0,0.63,44.5,42.0,1.3,0.08
11:54:44,19.3,0.0,0.63,45.5,42.0,1.34,0.08
11:54:46,19.3,0.0,0.63,46.0,42.5,1.39,0.08
11:54:49,25.69,0.0,0.63,46.5,42.0,1.34,0.16
11:54:51,25.69,0.0,0.63,46.0,42.0,1.3,0.08
11:54:54,19.3,39.6,0.63,45.5,42.5,1.46,0.12
11:54:56,19.3,33.0,0.63,45.5,42.0,1.46,0.16
11:54:59,25.69,6.8,0.63,46.0,42.0,1.34,0.08
11:55:01,25.68,0.0,0.63,45.5,42.0,1.34,0.08
11:55:04,19.3,41.4,0.63,46.0,42.5,1.54,0.16
11:55:06,19.3,0.0,0.63,44.5,42.5,1.34,0.12
11:55:09,25.67,15.0,0.63,46.0,42.5,1.38,0.08
11:55:11,25.67,4.4,0.63,45.5,42.5,1.3,0.08
11:55:14,19.3,38.6,0.63,46.0,42.0,1.5,0.12
11:55:16,19.3,0.0,0.63,46.0,42.5,1.46,0.12
11:55:19,25.68,0.0,0.63,45.0,42.0,1.3,0.08
11:55:21,25.68,1.9,0.63,45.5,42.0,1.34,0.08
11:55:24,19.3,38.1,0.63,45.5,42.5,1.42,0.12
11:55:26,19.3,0.0,0.63,45.5,42.5,1.46,0.12
11:55:29,25.68,2.8,0.63,46.0,42.0,1.3,0.08
11:55:31,25.67,0.0,0.63,45.5,42.5,1.3,0.08
11:55:34,19.3,0.0,0.63,46.0,42.5,1.26,0.04
11:55:36,19.3,0.0,0.63,46.0,42.5,1.3,0.08
11:55:39,25.68,0.0,0.63,46.5,42.5,1.39,0.08
11:55:41,25.68,33.1,0.63,45.5,42.5,1.47,0.12
11:55:44,19.3,4.6,0.63,45.5,42.5,1.3,0.08
11:55:47,19.3,12.0,0.63,46.0,42.0,1.34,0.08
11:55:49,25.67,0.0,0.63,46.5,42.0,1.42,0.08
11:55:52,25.68,32.4,0.63,46.0,42.5,1.5,0.16
11:55:54,19.3,0.0,0.63,45.5,42.5,1.3,0.08
11:55:57,19.3,0.0,0.63,46.0,42.5,1.38,0.08
11:55:59,25.68,33.2,0.63,46.0,42.5,1.42,0.12
11:56:02,25.67,8.5,0.63,45.5,42.0,1.46,0.12
11:56:04,19.3,12.1,0.63,46.0,42.5,1.34,0.08
11:56:07,19.3,4.4,0.63,45.5,42.5,1.34,0.08
11:56:09,25.67,34.1,0.63,45.5,42.5,1.42,0.12
11:56:12,25.66,0.0,0.63,46.0,42.5,1.42,0.12
11:56:14,19.3,15.2,0.63,45.5,42.5,1.3,0.08
11:56:17,19.3,0.0,0.63,46.0,42.5,1.34,0.08
11:56:19,25.67,31.8,0.63,46.0,42.5,1.54,0.16
11:56:22,25.67,0.0,0.63,46.0,42.5,1.34,0.12
11:56:24,19.3,31.9,0.63,46.0,42.5,1.51,0.12
11:56:27,19.3,33.4,0.63,45.5,42.5,1.42,0.12
11:56:29,25.67,4.8,0.63,46.0,42.5,1.34,0.08
11:56:32,25.67,4.4,0.63,45.5,42.5,1.34,0.08
11:56:34,19.3,38.8,0.63,45.5,42.5,1.54,0.16
11:56:37,19.3,0.0,0.63,46.0,42.5,1.34,0.08
11:56:39,25.66,0.0,0.63,45.5,42.5,1.3,0.08
11:56:42,25.66,0.0,0.63,46.0,42.5,1.42,0.08
11:56:44,19.3,32.6,0.63,45.5,42.5,1.5,0.16
11:56:47,19.3,0.0,0.63,46.5,42.5,1.62,0.08
11:56:49,25.67,0.0,0.63,46.0,42.5,1.38,0.08
11:56:52,25.67,0.0,0.63,46.0,42.0,1.38,0.08
11:56:54,19.3,32.7,0.63,46.0,42.5,1.58,0.16
11:56:57,19.3,0.0,0.63,46.5,42.5,1.3,0.08
11:56:59,25.67,0.0,0.63,45.0,42.5,1.26,0.08
11:57:02,25.68,0.0,0.63,46.0,42.5,1.42,0.08
11:57:04,19.3,35.0,0.63,46.0,43.0,1.42,0.12
11:57:07,19.3,2.7,0.63,46.0,42.5,1.34,0.08
11:57:09,25.67,32.5,0.63,46.0,43.0,1.54,0.16
11:57:12,25.66,0.0,0.63,46.0,42.5,1.3,0.08
11:57:14,19.3,0.0,0.63,45.5,42.5,1.3,0.08
11:57:17,19.3,0.0,0.63,45.0,42.5,1.34,0.08
11:57:19,25.67,0.0,0.63,46.5,42.5,1.38,0.12
11:57:22,25.67,0.0,0.63,46.0,42.5,1.3,0.08
11:57:24,19.3,0.0,0.63,46.0,42.5,1.39,0.08
11:57:27,19.3,32.7,0.63,46.5,43.0,1.62,0.16
11:57:29,25.66,0.0,0.63,46.0,42.5,1.3,0.08
11:57:32,25.67,4.8,0.63,46.0,42.5,1.34,0.08
11:57:34,19.3,0.0,0.63,46.0,42.5,1.38,0.08
11:57:37,19.3,32.5,0.63,47.0,43.0,1.54,0.16
11:57:39,25.66,0.0,0.63,46.0,42.5,1.3,0.08
11:57:42,25.66,5.0,0.63,46.0,42.5,1.34,0.08
11:57:44,19.3,0.0,0.63,46.5,42.5,1.34,0.08
11:57:47,19.3,32.8,0.63,46.5,43.0,1.62,0.16
11:57:49,25.66,0.0,0.63,46.5,42.5,1.3,0.08
11:57:52,25.66,6.8,0.63,46.5,43.0,1.34,0.08
11:57:54,19.3,32.7,0.63,46.0,42.5,1.5,0.16
11:57:57,19.3,0.0,0.63,46.0,42.5,1.34,0.08
11:57:59,25.67,0.0,0.63,46.0,42.5,1.3,0.08
11:58:02,25.67,4.6,0.63,46.5,43.0,1.42,0.08
11:58:04,19.3,0.0,0.63,46.0,43.0,1.42,0.12
11:58:07,19.3,0.0,0.63,46.0,43.0,1.34,0.08
11:58:09,25.66,0.0,0.63,46.5,43.0,1.34,0.08
11:58:12,25.67,37.3,0.63,46.0,43.0,1.54,0.16
11:58:14,19.3,0.0,0.63,45.5,43.0,1.3,0.08
11:58:17,19.3,0.0,0.63,46.0,43.0,1.34,0.08
11:58:19,25.66,6.6,0.63,46.0,43.0,1.42,0.08
11:58:22,25.65,38.3,0.63,46.0,43.0,1.46,0.16
11:58:24,19.3,0.0,0.63,46.0,43.0,1.34,0.08
11:58:27,19.3,0.0,0.63,45.5,42.5,1.38,0.08
11:58:29,25.66,0.0,0.63,46.0,43.0,1.38,0.08
11:58:32,25.66,32.3,0.63,46.5,43.0,1.54,0.16
11:58:34,19.3,4.5,0.63,45.5,43.0,1.3,0.08
11:58:37,19.3,0.0,0.63,46.0,43.0,1.34,0.08
11:58:39,25.65,0.0,0.63,46.0,43.0,1.47,0.08
11:58:42,25.66,0.0,0.63,47.0,42.5,1.34,0.12
11:58:44,19.3,0.0,0.63,46.0,43.0,1.39,0.08
11:58:47,19.3,33.0,0.63,46.0,43.0,1.54,0.12
11:58:49,25.66,0.0,0.63,46.0,43.0,1.3,0.08
11:58:52,25.66,17.7,0.63,46.0,43.0,1.38,0.08
11:58:54,19.3,0.0,0.63,46.5,43.0,1.42,0.08
11:58:57,19.3,32.8,0.63,46.5,43.5,1.54,0.16
11:58:59,25.66,4.6,0.63,46.5,43.0,1.3,0.08
11:59:02,25.67,0.0,0.63,46.0,43.0,1.34,0.08
11:59:04,19.3,6.6,0.63,46.5,43.5,1.38,0.08
11:59:07,19.3,36.9,0.63,46.5,43.0,1.54,0.16
11:59:09,25.67,0.0,0.63,45.5,43.0,1.34,0.08
11:59:12,25.67,0.0,0.63,46.5,43.0,1.34,0.08
11:59:14,19.3,33.2,0.63,46.0,43.0,1.5,0.16
11:59:17,19.3,0.0,0.63,46.0,43.5,1.42,0.12
11:59:19,25.66,7.0,0.63,46.0,43.0,1.34,0.08
11:59:22,25.66,4.4,0.63,46.0,43.0,1.34,0.08
11:59:24,19.3,33.0,0.63,46.5,43.0,1.62,0.16
11:59:27,19.3,0.0,0.63,46.0,42.5,1.18,0.08
11:59:29,25.66,0.0,0.63,46.0,43.0,1.42,0.08
11:59:32,25.66,35.7,0.63,46.5,43.0,1.58,0.16
11:59:34,19.3,0.0,0.63,46.0,43.0,1.3,0.08
11:59:37,19.3,0.0,0.63,46.5,43.5,1.34,0.08
11:59:39,25.66,33.9,0.63,46.5,43.0,1.46,0.12
11:59:42,25.66,2.6,0.63,46.5,43.0,1.42,0.12
11:59:44,19.3,1.9,0.63,47.0,43.0,1.34,0.08
11:59:47,19.3,0.0,0.63,47.0,42.5,1.38,0.08
11:59:49,25.66,33.4,0.63,46.5,43.0,1.58,0.16
11:59:52,25.66,0.0,0.63,46.5,43.0,1.34,0.08
11:59:54,19.3,18.3,0.63,46.0,43.0,1.3,0.08
11:59:57,19.3,0.0,0.63,46.5,43.0,1.38,0.08
11:59:59,25.66,31.6,0.63,46.5,43.0,1.58,0.16
12:00:02,25.66,0.0,0.63,46.5,43.0,1.34,0.08
12:00:04,19.3,8.2,0.63,46.0,43.0,1.3,0.08
12:00:07,19.3,0.0,0.63,47.0,43.0,1.34,0.08
12:00:09,25.66,32.1,0.63,46.5,43.5,1.58,0.16
12:00:12,25.66,0.0,0.63,46.5,43.0,1.38,0.12
12:00:14,19.3,1.9,0.63,47.0,43.0,1.38,0.12
12:00:17,19.3,39.8,0.63,46.5,43.0,1.58,0.16
12:00:19,25.66,0.0,0.63,46.5,43.0,1.3,0.08
12:00:22,25.67,18.1,0.63,46.5,43.0,1.38,0.08
12:00:24,19.31,3.7,0.63,46.5,43.0,1.42,0.08
12:00:27,19.31,25.7,0.63,46.5,43.0,1.5,0.16
12:00:29,25.66,0.0,0.63,47.5,43.0,1.34,0.08
12:00:32,25.67,0.0,0.63,46.5,43.5,1.3,0.08
12:00:34,19.31,32.7,0.63,46.5,43.0,1.54,0.12
12:00:37,19.31,0.0,0.63,46.5,43.5,1.42,0.12
12:00:39,25.66,6.8,0.63,47.0,43.5,1.3,0.08
12:00:42,25.66,4.4,0.63,46.5,43.0,1.34,0.08
12:00:44,19.31,32.4,0.63,46.0,43.0,1.54,0.16
12:00:47,19.31,0.0,0.63,46.5,43.0,1.3,0.08
12:00:49,25.66,5.9,0.63,46.5,43.5,1.3,0.08
12:00:52,25.67,0.0,0.63,46.5,43.0,1.38,0.08
12:00:54,19.31,35.6,0.63,46.5,43.0,1.54,0.16
12:00:57,19.31,0.0,0.63,46.5,43.5,1.38,0.12
12:00:59,25.66,0.0,0.63,46.5,43.0,1.22,0.08
12:01:02,25.66,33.3,0.63,46.5,43.5,1.5,0.16
12:01:04,19.31,0.0,0.63,46.0,43.0,1.3,0.08
12:01:07,19.31,0.0,0.63,46.5,43.5,1.34,0.08
12:01:09,25.66,30.7,0.63,46.5,43.0,1.54,0.12
12:01:12,25.66,3.0,0.63,46.5,43.0,1.42,0.12
12:01:14,19.31,4.8,0.63,46.5,43.0,1.34,0.08
12:01:17,19.31,0.0,0.63,46.5,43.0,1.34,0.08
12:01:19,25.66,42.3,0.63,47.0,43.5,1.58,0.16
12:01:22,25.67,0.0,0.63,46.5,43.5,1.3,0.08
12:01:24,19.31,1.9,0.63,46.0,43.0,1.3,0.08
12:01:27,19.31,4.4,0.63,47.0,43.0,1.34,0.08
12:01:29,25.67,32.9,0.63,47.5,43.5,1.5,0.16
12:01:32,25.67,0.0,0.63,46.5,43.0,1.42,0.12
12:01:34,19.31,0.0,0.63,47.0,43.0,1.3,0.08
12:01:37,19.31,0.0,0.63,47.0,43.0,1.3,0.08
12:01:39,25.67,11.7,0.63,46.0,43.5,1.46,0.12
12:01:42,25.66,33.1,0.63,46.0,43.5,1.46,0.16
12:01:44,19.31,0.0,0.63,46.5,43.5,1.3,0.08
12:01:47,19.31,0.0,0.63,46.5,43.5,1.02,0.04
12:01:49,25.66,25.6,0.63,46.5,43.0,1.42,0.12
12:01:52,25.66,0.0,0.63,46.0,43.0,1.3,0.08
12:01:54,19.31,0.0,0.63,47.0,43.5,1.3,0.08
12:01:57,19.31,27.0,0.63,47.0,43.5,1.54,0.16
12:01:59,25.66,0.0,0.63,47.0,43.5,1.3,0.08
12:02:02,25.66,0.0,0.63,46.5,43.0,1.34,0.08
12:02:04,19.31,32.1,0.63,46.5,43.0,1.5,0.12
12:02:07,19.31,40.4,0.63,46.5,43.5,1.58,0.16
12:02:09,25.66,0.0,0.63,46.5,43.0,1.34,0.08
12:02:12,25.66,1.9,0.63,46.5,43.5,1.3,0.08
12:02:14,19.31,32.8,0.63,46.5,43.0,1.54,0.12
12:02:17,19.31,1.6,0.63,47.5,43.5,1.42,0.12
12:02:19,25.66,8.4,0.63,46.0,43.5,1.34,0.08
12:02:22,25.66,0.0,0.63,47.0,43.5,1.38,0.08
12:02:24,19.31,36.6,0.63,46.5,43.5,1.58,0.16
12:02:27,19.31,0.0,0.63,46.5,43.0,1.3,0.08
12:02:29,25.66,0.0,0.63,46.0,43.5,1.34,0.08
12:02:32,25.66,15.9,0.63,46.5,43.5,1.38,0.12
12:02:34,19.31,0.6,0.63,47.0,43.5,1.38,0.16
12:02:37,19.31,0.0,0.63,46.5,43.5,1.34,0.08
12:02:39,25.67,35.1,0.63,46.5,43.5,1.54,0.16
12:02:42,25.67,4.6,0.63,46.5,43.0,1.3,0.08
12:02:44,19.31,0.0,0.63,46.0,43.5,1.3,0.08
12:02:47,19.31,0.0,0.63,46.5,43.5,1.38,0.08
12:02:49,25.67,2.4,0.63,46.5,43.5,1.42,0.12
12:02:52,25.66,0.0,0.63,46.5,43.5,1.34,0.08
12:02:54,19.31,4.4,0.63,46.5,43.5,1.34,0.08
12:02:57,19.31,25.5,0.63,46.5,43.5,1.46,0.12
12:02:59,25.66,0.0,0.63,47.0,43.5,1.3,0.08
12:03:02,25.66,0.0,0.63,47.5,43.5,1.34,0.08
12:03:04,19.31,2.5,0.63,46.5,43.5,1.3,0.08
12:03:07,19.31,4.6,0.63,47.0,43.5,1.46,0.12
12:03:09,25.67,0.0,0.63,46.5,43.5,1.42,0.12
12:03:12,25.67,0.0,0.63,47.5,43.5,1.3,0.08
12:03:14,19.31,0.0,0.63,47.0,43.5,1.34,0.08
12:03:17,19.31,4.6,0.63,47.5,43.5,1.46,0.12
12:03:19,25.67,0.0,0.63,46.5,43.0,1.22,0.08
12:03:22,25.67,1.9,0.63,47.0,43.5,1.38,0.12
12:03:24,19.31,33.5,0.63,47.5,43.0,1.46,0.16
12:03:27,19.31,0.0,0.63,46.5,43.0,1.3,0.08
12:03:29,25.66,4.4,0.63,46.5,43.0,1.34,0.08
12:03:32,25.66,25.0,0.63,46.5,43.5,1.46,0.12
12:03:34,19.31,0.0,0.63,46.5,43.5,1.34,0.08
